Question,Answer,,,IncorrectAnswer1,IncorrectAnswer2,IncorrectAnswer3,IncorrectAnswer4,IncorrectAnswer5,IncorrectAnswer6
Every computer on a network is called a….,host,,,client,server,node,,,
Which type of host provides information?,server,,,host,client,node,,,
Which type of host sends requests to retrieve information?,client,,,server,host,node,,,
Another name for a host is…,end device,,,switch,router,access point,,,
Type of media that sends pulses of light…,fiber optic,,,copper,wireless,,,,
Type of media that sends electical impulses…,copper,,,fiber optic,wireless,,,,
Type of media that uses specific frequencies of electromagnetic waves…,wireless,,,copper,fiber optic,,,,
Which type of topology illustrates the actual location of intermediary devices and cable installation?,physical,,,logical,,,,,
"Which type of topology illustrates devices, ports, and the addressing scheme of the network?",logical,,,physical,,,,,
This type of network connects a few computers to each other and the internet…,small home network,,,small office/home office,medium/large,world wide,,,
This type of network connects hundreds of millions of computers…,world wide,,,small home network,small office/home office,medium/large,,,
This type of network connects many locations with hundreds or thousands of computers…,medium/large,,,world wide,small home network,small office/home office,,,
This type of network enables computers within a home or remote office to connect to a corporate network…,small office/home office,,,medium/large,world wide,small home network,,,
Which network infrastructure spans a small geographic area?,LAN,,,WAN,PAN,MAN,,,
Which network infrastructure spans a wide geographic area?,WAN,,,LAN,PAN,MAN,,,
What is the name for a private collection of LANs and WANs internal to an organization,intranet,,,extranet,internet,stuxnet,,,
What is the type of network used to provide secure access for individuals who work for a different organization requiring access?,extranet,,,intranet,internet,stuxnet,,,
"Internet connection defined as high bandwidth, always on, and offered by cable television service providers…",cable,,,dsl,cellular,satellite,dial-up,,
"Internet connection defined as high bandwidth, always on, and runs over telephone lines…",dsl,,,cable,cellular,satellite,dial-up,,
Internet connection defined as using a cell phone network to connect…,cellular,,,cable,dsl,satellite,dial-up,,
"What is the term used to describe the combining of services onto one link, including data, voice, and video?",converged network,,,internetwork,multinetwork,service network,,,
Multiple paths are required to meet this requirment of network architecture?,fault tolerance,,,scalability,quality of service (QoS),security,,,
The ability to expand quickly and easily to support new users and applications is what characteristic of network architecture?,scalability,,,fault tolerance,quality of service (QoS),security,,,
What is required in modern networks to support the demands of voice and live video transmissions?,quality of service (QoS),,,scalability,fault tolerance,security,,,
Which type of security is responsible for locking down physical and unauthorized access to devices?,network infrastructure security,,,information security,cybersecurity,,,,
Which of the three goals of network security ensures only intended recipients can read the data?,confidentiality,,,integrity,availability,,,,
Which of the three goals of network security assures the data has not be altered with during transmission?,integrity,,,confidentiality,availability,,,,
Which of the three goals of network security assures timely and reliable access to data for authorized users?,availability,,,integrity,confidentiality,,,,
What trend allows users to use their own devices giving them more opportunities and greater flexibility?,BYOD,,,online collaboration,video communications,cloud computing,,,
What trend allows people to work with others over the network on projects?,online collaboration,,,BYOD,video communications,cloud computing,,,
What trend allows us to store personal files or backup our data on servers over the internet?,cloud computing,,,online collaboration,BYOD,video communications,,,
What trend is made possible by data centers?,cloud computing,,,online collaboration,BYOD,video communications,,,
